0,Permissive 1 Sense,NA,,Arm1/GeneralPorpouse
1,Permissive 1 Message,,,Arm1/GeneralPorpouse
2,Permissive 1 Restart,Manual,,Arm1/GeneralPorpouse
3,Permissive 2 Sense,NA,,Arm1/GeneralPorpouse
4,Permissive 2 Message,,,Arm1/GeneralPorpouse
5,Permissive 2 Restart,Manual,,Arm1/GeneralPorpouse
6,Load Arm ID,Arm 2,,Arm1/GeneralPorpouse
7,Ready Message,AccuLoad Iv Ready,,Arm1/GeneralPorpouse
8,Permissive 1 Sense,NA,,Arm2/GeneralPorpouse
9,Permissive 1 Message,,,Arm2/GeneralPorpouse
10,Permissive 1 Restart,Manual,,Arm2/GeneralPorpouse
11,Permissive 2 Sense,NA,,Arm2/GeneralPorpouse
12,Permissive 2 Message,,,Arm2/GeneralPorpouse
13,Permissive 2 Restart,Manual,,Arm2/GeneralPorpouse
14,Load Arm ID,Arm 2,,Arm2/GeneralPorpouse
15,Ready Message,AccuLoad Iv Ready,,Arm2/GeneralPorpouse
16,Permissive 1 Sense,NA,,Arm3/GeneralPorpouse
17,Permissive 1 Message,,,Arm3/GeneralPorpouse
18,Permissive 1 Restart,Manual,,Arm3/GeneralPorpouse
19,Permissive 2 Sense,NA,,Arm3/GeneralPorpouse
20,Permissive 2 Message,,,Arm3/GeneralPorpouse
21,Permissive 2 Restart,Manual,,Arm3/GeneralPorpouse
22,Load Arm ID,Arm 2,,Arm3/GeneralPorpouse
23,Ready Message,AccuLoad Iv Ready,,Arm3/GeneralPorpouse
24,Permissive 1 Sense,NA,,Arm4/GeneralPorpouse
25,Permissive 1 Message,,,Arm4/GeneralPorpouse
26,Permissive 1 Restart,Manual,,Arm4/GeneralPorpouse
27,Permissive 2 Sense,NA,,Arm4/GeneralPorpouse
28,Permissive 2 Message,,,Arm4/GeneralPorpouse
29,Permissive 2 Restart,Manual,,Arm4/GeneralPorpouse
30,Load Arm ID,Arm 2,,Arm4/GeneralPorpouse
31,Ready Message,AccuLoad Iv Ready,,Arm4/GeneralPorpouse
32,Low Flow Start Rate,0,,Arm1/FlowControl
33,Low Flow Start Amount,0,,Arm1/FlowControl
34,Low Flow Start %,0,,Arm1/FlowControl
35,Low Flow Start Condition,Always,,Arm1/FlowControl
36,High Flow Rate,0,Ratio,Arm1/FlowControl
37,2nd High Flow,0,Ratio,Arm1/FlowControl
38,1st/2nd High Flow,Batch Start,,Arm1/FlowControl
39,1st/2nd Hi Flow Preset,0,,Arm1/FlowControl
40,Low Flow Start Rate,0,,Arm2/FlowControl
41,Low Flow Start Amount,0,,Arm2/FlowControl
42,Low Flow Start %,0,,Arm2/FlowControl
43,Low Flow Start Condition,Always,,Arm2/FlowControl
44,High Flow Rate,0,Ratio,Arm2/FlowControl
45,2nd High Flow,0,Ratio,Arm2/FlowControl
46,1st/2nd High Flow,Batch Start,,Arm2/FlowControl
47,1st/2nd Hi Flow Preset,0,,Arm2/FlowControl
48,Low Flow Start Rate,0,,Arm3/FlowControl
49,Low Flow Start Amount,0,,Arm3/FlowControl
50,Low Flow Start %,0,,Arm3/FlowControl
51,Low Flow Start Condition,Always,,Arm3/FlowControl
52,High Flow Rate,0,Ratio,Arm3/FlowControl
53,2nd High Flow,0,Ratio,Arm3/FlowControl
54,1st/2nd High Flow,Batch Start,,Arm3/FlowControl
55,1st/2nd Hi Flow Preset,0,,Arm3/FlowControl
56,Low Flow Start Rate,0,,Arm4/FlowControl
